Type,Prompt,Correct Answer,Choices
mcq,"Which term means: ""A type of Text Setting where one note is assigned
  per syllable of text, prioritizing textual clarity and rhythmic drive, often
  contrasted with ...""?","syllabic","minor instances | one player per part | popular song | syllabic"
mcq,"What is ""syllabic settings""?","The application of one note per syllable of text.","The application of one note per syllable of text. | A type of Text Setting where one note is assigned
  per syllable of text, prioritizing textual clarity and rhythmic d... | A traditional musical form based on the return of a main
  theme (A) alternating with contrasting sections (e.g., ABA... | The vertical stacking of pitches (harmony) that supports or contrasts the melody."
mcq,"Which term means: ""The application of one note per syllable of text.""?","syllabic settings","staccato | double stopping | syllabic settings | structural mechanism"
mcq,"What is ""syllabus""?","The set of required curriculum standards and content.","The set of required curriculum standards and content. | The structure and organization of musical sections. | The action of interpreting and presenting music. In
  Baroque practice, it involved improvising chords and adding orn... | Fortississimo, denoting very, very loud, representing the maximum dynamic level used in the Romantic period (Extreme ..."
mcq,"Which term means: ""The set of required curriculum standards and content.""?","syllabus","soloist | syllabus | numbers 1–7 | sound quality"
mcq,"What is ""Syllabus Terminology""?","The specific musical vocabulary explicitly required for
  use in analytical appraisal.","An early form of musical notation used before the development of staff notation [565, 39 Abbreviated form with asterisk. | Strings played using a mute, typically for atmospheric,
  distant, or veiled effects. | The specific number of strings on the Chinese bowed
  fiddle, the erhu. | The specific musical vocabulary explicitly required for
  use in analytical appraisal."
mcq,"Which term means: ""The specific musical vocabulary explicitly required for
  use in analytical appraisal.""?","Syllabus Terminology","Syllabus Terminology | horn | Polka | dramatic content"
mcq,"What is ""sympathetic strings""?","Strings found on certain Indian instruments (like the sītār)
  that vibrate passively, contributing to the instrument...","Scales consisting entirely of semitones, spanning an octave, required knowledge in the syllabus (AOS 3 onwards). | Music (like Stravinsky's) that utilizes complex rhythms,
  irregular metres, and metric shifts. | Strings found on certain Indian instruments (like the sītār)
  that vibrate passively, contributing to the instrument... | Instruments used for rhythmic emphasis or dramatic effect.
  Specific examples include timpani (kettle drums), bongos..."
mcq,"Which term means: ""Strings found on certain Indian instruments (like the sītār)
  that vibrate passively, contributing to the instrument's unique timbre.""?","sympathetic strings","imitative | developmental device | descending | sympathetic strings"
mcq,"What is ""symphonic poem""?","A single-movement orchestral piece of Programme Music
  (or tone poem) that follows a descriptive or literary narrati...","String instruments forming part of the core orchestra,
  required knowledge for all Western periods. | Refers to small or transient occurrences, specifically
  cited regarding chromatic harmony found in Baroque bass lines. | A strong, conclusive cadence moving from the Dominant (V)
  to the Tonic (I). | A single-movement orchestral piece of Programme Music
  (or tone poem) that follows a descriptive or literary narrati..."
mcq,"Which term means: ""A single-movement orchestral piece of Programme Music
  (or tone poem) that follows a descriptive or literary narrative; the key
  structural form ...""?","symphonic poem","expansion of the orchestra | symphonic poem | musical identity | orchestral strings"
mcq,"What is ""symphonies""?","Large-scale orchestral works, central to the Classical and
  Romantic eras.","The central foundational rhythm of a genre, such as the clavé
  in Salsa. | Large-scale orchestral works, central to the Classical and
  Romantic eras. | The degree to which music successfully enhances the plot,
  drama, or visual action of a scene. | The technique used in modern film scoring where music is
  precisely aligned with the visual action on screen, often ..."
mcq,"Which term means: ""Large-scale orchestral works, central to the Classical and
  Romantic eras.""?","symphonies","symphonies | rubato | organ | dominant pedal"
mcq,"What is ""Symphony""?","A large-scale orchestral work.","A large-scale orchestral work. | A specific cadence (IVb–V) that creates a melancholy mood,
  famously used by Handel to link movements. | Rare occurrences, such as the finding of chromatic harmony in Baroque music. | Used as a stylistic descriptor for Baroque music,
  reflecting its decorated feel."
mcq,"Which term means: ""A large-scale orchestral work.""?","Symphony","Symphony | tonal output. c. 1600–1750 | Libby Larsen | Mozart Symphony No. 40"
mcq,"What is ""synchronization (timecode)""?","The technique used in modern film scoring where music is
  precisely aligned with the visual action on screen, often ...","The technique used in modern film scoring where music is
  precisely aligned with the visual action on screen, often ... | The second movement of Handel’s Op. 6, No. 5 is an Allegro. | The Roman numerals representing a Perfect Cadence
  (Dominant to Tonic). | Brass instruments in the lower register, such as the tuba or trombones, sometimes sampled in modern music."
mcq,"Which term means: ""The technique used in modern film scoring where music is
  precisely aligned with the visual action on screen, often guided by a visible
  timecode.""?","synchronization (timecode)","synchronization (timecode) | multiple simultaneous independent rhythms | Tempo Progression | unmetred vocal improvisation"
mcq,"What is ""syncopated percussion""?","Off-beat rhythms played by percussion instruments (e.g.,
  hi-hats, shakers) in EDM to add complexity and rhythmic in...","A region included in the geographical diffusion of Arabic music (Arab takht ensembles). | A closely related key, specifically the major key based on
  the relative minor's tonic (e.g., E major is the relativ... | Off-beat rhythms played by percussion instruments (e.g.,
  hi-hats, shakers) in EDM to add complexity and rhythmic in... | Explicit definition of homophonic texture."
mcq,"Which term means: ""Off-beat rhythms played by percussion instruments (e.g.,
  hi-hats, shakers) in EDM to add complexity and rhythmic interest.""?","syncopated percussion","fff | syncopated percussion | guru-shishya (teacher-disciple) | semiquavers"
mcq,"What is ""syncopated rhythms (sincopa)""?","Rhythms where accents fall on weaker beats or off-beats;
  the Spanish term sincopa refers to this rhythm, which is f...","Rhythms where accents fall on weaker beats or off-beats;
  the Spanish term sincopa refers to this rhythm, which is f... | A technique used on strings, referring to Tremolo. | The smallest interval in Western music, used as a
  reference when discussing the quarter-tones (microtones) found in... | A type of ornament or embellishment that must be
  recognized. They are a key Baroque feature sometimes used to sugge..."
mcq,"Which term means: ""Rhythms where accents fall on weaker beats or off-beats;
  the Spanish term sincopa refers to this rhythm, which is fundamental
  to Tango.""?","syncopated rhythms (sincopa)","Silk and Bamboo Ensembles | Hemiola | syncopated rhythms (sincopa) | Classical aesthetic"
mcq,"What is ""Syncopation""?","The frequent use of rhythms where accents fall on weaker
  beats or off-beats, prominent in Baroque, Classical, Popul...","The central key of a piece, which composers may
  destabilize using chromatic harmony or atonality. | Increasing loudness, specifically describing a crescendo
  or Build in EDM. | The frequent use of rhythms where accents fall on weaker
  beats or off-beats, prominent in Baroque, Classical, Popul... | An articulation meaning short and detached, applied to
  notes, used for rhythmic emphasis (e.g., in Tango marcado rh..."
mcq,"Which term means: ""The frequent use of rhythms where accents fall on weaker
  beats or off-beats, prominent in Baroque, Classical, Popular, and Dance
  music.""?","Syncopation","dynamic range | single tonal centre | Max Steiner | Syncopation"
mcq,"What is ""synthesizers""?","Electronic instruments used to generate a wide range of
  timbres and manipulate pitch, essential to EDM, Game Music,...","Electronic instruments used to generate a wide range of
  timbres and manipulate pitch, essential to EDM, Game Music,... | Scales consisting entirely of semitones, spanning an octave, required knowledge in the syllabus (AOS 3 onwards). | The specific mood created by Handel’s Phrygian cadence (IVb–V) in Movement 4 of his Concerto Grosso. | Highly detailed rhythmic figures produced by improvising percussionists (e.g., the tablā in Hindustani music)."
mcq,"Which term means: ""Electronic instruments used to generate a wide range of
  timbres and manipulate pitch, essential to EDM, Game Music, and Pop/Rock
  genres.""?","synthesizers","synthesizers | tonal centers | North Africa | melisma"
mcq,"What is ""synthetic sounds""?","Sounds generated electronically, characteristic of EDM and
  Game Music, contrasted with acoustic timbres.","A non-Western notation system that uses numbers 1–7 to represent scale degrees, commonly used for pentatonic melodies... | Sounds generated electronically, characteristic of EDM and
  Game Music, contrasted with acoustic timbres. | A scale or mode consisting of five notes. | Adjective describing a clear, uncluttered texture, often
  used to characterize the homophony of the Classical period."
mcq,"Which term means: ""Sounds generated electronically, characteristic of EDM and
  Game Music, contrasted with acoustic timbres.""?","synthetic sounds","equalized woodwind section | qanun | pitch fluctuation | synthetic sounds"
mcq,"What is ""tablā""?","A pair of drums used in Hindustani classical music to set
  the time cycle (tāla) and provide rhythmic accompaniment.","In Arabic music, the melodic mode, uniquely structured around a system incorporating quarter-tones (microtones), whic... | A pair of drums used in Hindustani classical music to set
  the time cycle (tāla) and provide rhythmic accompaniment. | An example piece suggested for listening to Arab Takht
  Ensembles, demonstrating the use of the maqām and heterophony. | A key social and political movement of the Romantic era,
  focusing on the expression of a distinct national identity..."
mcq,"Which term means: ""A pair of drums used in Hindustani classical music to set
  the time cycle (tāla) and provide rhythmic accompaniment.""?","tablā","tablā | ternary | unfretted lute | heterophony"
mcq,"What is ""takk""?","A high-pitched drum sound, used as a mnemonic syllable to
  verbalize the beats of the iqa' (rhythmic mode) in Arabic...","A high-pitched drum sound, used as a mnemonic syllable to
  verbalize the beats of the iqa' (rhythmic mode) in Arabic... | Refers to the sound world of Baroque Music. | Harmony or intervals that sound stable, agreeable, or pleasing (the opposite of dissonant). | The music possesses a clearly defined key center."
mcq,"Which term means: ""A high-pitched drum sound, used as a mnemonic syllable to
  verbalize the beats of the iqa' (rhythmic mode) in Arabic music.""?","takk","fff | sonic density | dramatic events | takk"
mcq,"What is ""tāla""?","The fixed time cycle or rhythmic cycle used as the
  structural framework for rhythm in Hindustani classical music.","The perceived thickness or fullness of a musical texture,
  created by layering instruments or using cluster chords. | The fixed time cycle or rhythmic cycle used as the
  structural framework for rhythm in Hindustani classical music. | Methods used for recording music, ranging from standard
  staff notation to non-Western methods like cipher notation. | The inclusion of embellishments or decorative notes, which
  is a key Baroque feature. It is still vital for expressi..."
mcq,"Which term means: ""The fixed time cycle or rhythmic cycle used as the
  structural framework for rhythm in Hindustani classical music.""?","tāla","harpsichord continuo | mnemonic sounds | tāla | unsettling textures"
mcq,"What is ""Tamb“r”""?","An unfretted lute that provides the continuous drone
  (harmonic foundation) in Hindustani classical music.","An unfretted lute that provides the continuous drone
  (harmonic foundation) in Hindustani classical music. | A technique where parts are played simultaneously an
  octave apart. In Salsa, pianists use octave doublings to reinf... | A 20th-century compositional technique involving simple patterns, repetition, and static harmony, noted as a techniqu... | A two-stringed, bowed Chinese fiddle, classified as a silk instrument in Sizhu ensembles."
mcq,"Which term means: ""An unfretted lute that provides the continuous drone
  (harmonic foundation) in Hindustani classical music.""?","Tamb“r”","Tamb“r” | military marches | staccato | Moog"
mcq,"What is ""Tango""?","An urban dance genre originating in Buenos Aires,
  characterized by the bandoneon, syncopated rhythms (sincopa),
  a...","A long-necked, plucked lute used as the main melodic
  instrument in Hindustani classical music. | Brass instruments, used in small numbers in the Baroque
  era and prominently in the expanded Romantic orchestra, oft... | An urban dance genre originating in Buenos Aires,
  characterized by the bandoneon, syncopated rhythms (sincopa),
  a... | The characteristic linear sequence of pitches (melody)
  forms the musical identity. Identity can also be shaped by n..."
mcq,"Which term means: ""An urban dance genre originating in Buenos Aires,
  characterized by the bandoneon, syncopated rhythms (sincopa),
  and expressive melancholia.""?","Tango","unsettling textures | Tango | Op. 6 | embellishments"
mcq,"What is ""Tango Tonality""?","The general tonal quality of Tango music, which is often
  dominated by minor keys to convey melancholia.","Referring to notes that are held for a long duration, such
  as pedal notes or the notes in the drone. | The quality of being expressive or song-like. | Abbreviated term for Basso Continuo. | The general tonal quality of Tango music, which is often
  dominated by minor keys to convey melancholia."
mcq,"Which term means: ""The general tonal quality of Tango music, which is often
  dominated by minor keys to convey melancholia.""?","Tango Tonality","thick orchestral scoring | Tango Tonality | Niccolò Paganini | unaccompanied line"
mcq,"What is ""technical""?","Adjective describing music or passages that require
  advanced instrumental skill, often associated with virtuosity.","A traditional musician group in the Hindustani tradition who performed for joyous occasions and celebrations (mangal). | The specific rhythmic durations (e.g., semiquavers, dotted rhythms, triplets) used in music. | Adjective describing music or passages that require
  advanced instrumental skill, often associated with virtuosity. | Traditional musical elements used in some early ballets
  (e.g., Stravinsky) to set location or atmosphere."
mcq,"Which term means: ""Adjective describing music or passages that require
  advanced instrumental skill, often associated with virtuosity.""?","technical","minimalism | grandeur | technical | jhālā"
mcq,"What is ""technical brilliance""?","Extreme skill demonstrated by a performer, especially
  during a cadenza.","A choral work by Jonathan Dove, suggested as a starting
  point to exemplify complex textures, antiphony, and polyrhy... | A standard Baroque structure featuring a characteristic slow, majestic opening section (with dotted rhythms) followed... | Extreme skill demonstrated by a performer, especially
  during a cadenza. | Electronic instruments used to generate a wide range of
  timbres and manipulate pitch, essential to EDM, Game Music,..."
mcq,"Which term means: ""Extreme skill demonstrated by a performer, especially
  during a cadenza.""?","technical brilliance","No. 5 | technical brilliance | sampling | Roland TR808"
mcq,"What is ""Telemann""?","A Baroque composer cited in wider listening examples.","The compositional technique of altering a theme (e.g., a leitmotif)
  through changes in rhythm, harmony, or register... | A Baroque composer cited in wider listening examples. | The action of interpreting and presenting music. In
  Baroque practice, it involved improvising chords and adding orn... | A stylistic description used to characterize Baroque
  music, meaning highly decorated."
mcq,"Which term means: ""A Baroque composer cited in wider listening examples.""?","Telemann","Movement 6 | tertiary relationships | Telemann | time signature"
mcq,"What is ""Tempo""?","The speed at which the music is performed, often affecting
  mood and style.","Very fast-moving note values found in technical passages of Baroque and Romantic music. | A work suggested as a starting point for studying the Art
  Song tradition, demonstrating how the piano acts as an eq... | Relating to the shared practices, identity, or social structure of a community. | The speed at which the music is performed, often affecting
  mood and style."
mcq,"Which term means: ""The speed at which the music is performed, often affecting
  mood and style.""?","Tempo","regular | countersubject | Tempo | oral/aural transmission"
mcq,"What is ""Tempo Flexibility""?","The expressive use of tempo variation, such as rubato.","The expressive use of tempo variation, such as rubato. | In Hindustani Classical Music, the fast, virtuosic concluding section where the melodic soloist (e.g., sītār player) ... | Fortississimo, denoting very, very loud, representing the maximum dynamic level used in the Romantic period (Extreme ... | The strings of the sītār or tamb“r” that are repeatedly struck or allowed to vibrate freely to sustain the drone pitch."
mcq,"Which term means: ""The expressive use of tempo variation, such as rubato.""?","Tempo Flexibility","rhythmic modes | Tempo Flexibility | contrabassoon | emotional mood"
mcq,"What is ""tempo fluctuations""?","Variations in speed within a piece, including gradual
  changes like accelerando and rallentando.","The compositional technique of intentionally placing accents or rhythmic figures away from the strong beats, which is... | Relating to the chromatic scale (built entirely of semitones) or chromatic harmony (using notes outside the main key). | Variations in speed within a piece, including gradual
  changes like accelerando and rallentando. | In the Baroque era, the Doctrine of Affection dictated
  that a single emotional mood (or feeling) should persist thr..."
mcq,"Which term means: ""Variations in speed within a piece, including gradual
  changes like accelerando and rallentando.""?","tempo fluctuations","octaves | tempo fluctuations | mordents | violins"
mcq,"What is ""Tempo Markings""?","Established Italian terms (e.g., Allegro, Adagio)
  that convey the speed and intended expression of a movement.","Often used in dance music to create continuous momentum,
  associated with ostinatos and loops. | Individual notes within a scale, which can be represented
  by numbers (cipher notation) in some non-Western systems. | The theoretical systems governing pitch organization, such
  as the rāga of Indian music or the maqām of Arabic music. | Established Italian terms (e.g., Allegro, Adagio)
  that convey the speed and intended expression of a movement."
mcq,"Which term means: ""Established Italian terms (e.g., Allegro, Adagio)
  that convey the speed and intended expression of a movement.""?","Tempo Markings","single | Tempo Markings | melody and accompaniment | son clavé"
mcq,"What is ""Tempo Progression""?","The structural requirement in some music (e.g., Hindustani
  classical) where speed moves logically from slow (ālāp) ...","The structural requirement in some music (e.g., Hindustani
  classical) where speed moves logically from slow (ālāp) ... | In Ritornello Form (Baroque concerto), these are the contrasting sections dominated by the virtuoso solo instrument o... | The high level of emotion conveyed, often enhanced by dynamics, ornamentation, or techniques like glissando in Tango. | The rapid repetition of a single note or alternation
  between two notes, used for dramatic effect (e.g., in orchestr..."
mcq,"Which term means: ""The structural requirement in some music (e.g., Hindustani
  classical) where speed moves logically from slow (ālāp) to fast (jhālā).""?","Tempo Progression","gradual dynamic changes | linear sequence of pitches | Mutes (Con Sordini) | Tempo Progression"
mcq,"What is ""tenor""?","The highest standard male vocal classification.","The highest standard male vocal classification. | A musical form based on presenting a main melody (theme)
  followed by a series of sections that alter or elaborate u... | Production methods used for layering separate audio tracks
  to achieve density and fullness, integral to genres like... | Refers generally to Rhythm, which includes the
  accents and durations that drive the music forward."
mcq,"Which term means: ""The highest standard male vocal classification.""?","tenor","tenor | timpani | valve | composer"
mcq,"What is ""tension""?","Musical instability created by devices such as dissonance,
  chromaticism, and dynamics, which is managed and release...","Musical instability created by devices such as dissonance,
  chromaticism, and dynamics, which is managed and release... | Methods of recording music (e.g., staff notation, cipher notation, figured bass, graphic scores). | An expressive technique involving a continuous slide in pitch between two notes, used for intensity in Tango and non-... | The classification system for time signatures, required
  knowledge across all Areas of Study."
mcq,"Which term means: ""Musical instability created by devices such as dissonance,
  chromaticism, and dynamics, which is managed and released by the composer.""?","tension","rhythmic | oratorio | tension | dissonant notes"
mcq,"What is ""tension management""?","The compositional technique of building and releasing
  musical tension, fundamental to EDM structure (Build $\righta...","A chord where the third note of the triad is placed in the bass, commonly used in Classical functional harmony. | A type of metre (e.g., 2/4 or 4/4) organized into groups of two beats. | The difference between major (cheerful) and minor
  (melancholy) tonalities. | The compositional technique of building and releasing
  musical tension, fundamental to EDM structure (Build $\righta..."
mcq,"Which term means: ""The compositional technique of building and releasing
  musical tension, fundamental to EDM structure (Build $\rightarrow$ Drop).""?","tension management","layali | tension management | programmatic | SSAATTBB"
mcq,"What is ""ternary""?","A structure consisting of three main sections, often
  contrasting, where the first section returns (ABA).","Adjective describing duration, used for short, detached
  articulation (staccato). | A term referring to minute changes in pitch, often linked
  to the expressive technique of Vibrato. | The beats that compose the fixed time cycle (tāla) in Hindustani Classical Music. | A structure consisting of three main sections, often
  contrasting, where the first section returns (ABA)."
mcq,"Which term means: ""A structure consisting of three main sections, often
  contrasting, where the first section returns (ABA).""?","ternary","ternary | Tango | cipher notation | majestic opening section"
mcq,"What is ""Ternary Form (ABA)""?","A structure consisting of three parts where the first is
  repeated (A-B-A).","A formal concluding section added after the main structure (e.g., sonata form or rondo), typically serving to reinfor... | A feature of the cadenza in a concerto. | A structure consisting of three parts where the first is
  repeated (A-B-A). | Instruments used for rhythmic emphasis or dramatic effect.
  Specific examples include timpani (kettle drums), bongos..."
mcq,"Which term means: ""A structure consisting of three parts where the first is
  repeated (A-B-A).""?","Ternary Form (ABA)","chord inversions | Mvt. 2 | Programmatic music | Ternary Form (ABA)"
mcq,"What is ""terraced dynamics""?","The defining dynamic feature of the Baroque period (c.
  1600–1750), characterized by sudden, abrupt changes from lou...","Star Wars: The film score used as a starting point for Area of Study 7, exemplifying the use of **leitmotifs of the t... | Cited as a further listening example for studying sonata
  form. | The defining dynamic feature of the Baroque period (c.
  1600–1750), characterized by sudden, abrupt changes from lou... | Plural of suspension, a required harmonic device."
mcq,"Which term means: ""The defining dynamic feature of the Baroque period (c.
  1600–1750), characterized by sudden, abrupt changes from loud (forte)
  to quiet (piano) o...""?","terraced dynamics","pp | reverb | offbeat rhythms | terraced dynamics"
mcq,"What is ""tertiary relationships""?","Modulation between keys a third apart (e.g., C major to E
  major), a hallmark of the Romantic era's expanded harmoni...","A standard metre (e.g., $3/4$ time) common in dance forms
  like the Menuet and the Waltz. | The film credited with having the first fully scored soundtrack for a feature-length motion picture, composed by Max ... | The core chords (Tonic I, Subdominant IV, Dominant V) that
  form the fundamental structure of diatonic and functiona... | Modulation between keys a third apart (e.g., C major to E
  major), a hallmark of the Romantic era's expanded harmoni..."
mcq,"Which term means: ""Modulation between keys a third apart (e.g., C major to E
  major), a hallmark of the Romantic era's expanded harmonic freedom.""?","tertiary relationships","neumes | Ralph Vaughan Williams’s Songs of Travel | polytonality | tertiary relationships"
mcq,"What is ""Text Setting""?","The relationship between the musical notes and the lyrical
  text, typically analyzed as syllabic or melismatic.","Style emphasizing long, expressive melodies, particularly in Art Song. | Two or more conflicting rhythmic patterns played simultaneously. | The relationship between the musical notes and the lyrical
  text, typically analyzed as syllabic or melismatic. | The combination of multiple melodic or rhythmic parts, defining the texture."
mcq,"Which term means: ""The relationship between the musical notes and the lyrical
  text, typically analyzed as syllabic or melismatic.""?","Text Setting","Text Setting | rising scales | mordents | Dominant V"
mcq,"What is ""textural interpretation""?","The analytical skill of determining the type of texture
  (e.g., homophonic, polyphonic) and how it contributes to th...","The plural term for “q”', the rhythmic modes of Arabic music, consisting of a succession of beats that defines the rh... | Refers to writing and structuring music specifically for
  the orchestra. | Playing the same line in parallel octaves, a technique used by pianists in the Salsa montuno pattern. | The analytical skill of determining the type of texture
  (e.g., homophonic, polyphonic) and how it contributes to th..."
mcq,"Which term means: ""The analytical skill of determining the type of texture
  (e.g., homophonic, polyphonic) and how it contributes to the overall
  emotional sound.""?","textural interpretation","rhythmic patterns | homophonic | subsidiary beats | textural interpretation"
mcq,"What is ""Texture""?","The layering and interaction of musical lines (monophonic,
  homophonic, polyphonic).","The layering and interaction of musical lines (monophonic,
  homophonic, polyphonic). | The full spectrum of volume levels available to the composer or performer, greatly expanded in the Classical period (... | A lively American folk dance, part of Copland's ballet Rodeo, used to celebrate a lively atmosphere. | An articulation meaning short and detached, applied to
  notes, used for rhythmic emphasis (e.g., in Tango marcado rh..."
mcq,"Which term means: ""The layering and interaction of musical lines (monophonic,
  homophonic, polyphonic).""?","Texture","takk | Texture | minimalism | microtonal changes"
mcq,"What is ""The Four Seasons""?","The collective title of Vivaldi's violin concertos, of
  which Spring (Movement 1) is a Focus Work.","A hollowed component that forms the resonator body of string instruments like the sītār. | The collective title of Vivaldi's violin concertos, of
  which Spring (Movement 1) is a Focus Work. | Plural, combined term for expressive slides between notes, valued in non-Western traditions and dramatic Romantic sco... | A rapid alternation between two notes, a fundamental ornament
  required across all historical periods."
mcq,"Which term means: ""The collective title of Vivaldi's violin concertos, of
  which Spring (Movement 1) is a Focus Work.""?","The Four Seasons","Ritornello Form | Vaughan Williams | The Four Seasons | Piazzolla: Libertango"
mcq,"What is ""The Jazz Singer (1927)""?","Famously known as the first “part-talkie” film to feature
  synchronized audio.","Famously known as the first “part-talkie” film to feature
  synchronized audio. | The characteristic elements (rhythm, melody, harmony,
  etc.) that candidates must analyze in musical extracts. | The system that governs pitch relationships, used in the
  Baroque era and defining non-Western traditions, such as t... | See pop and rock instruments."
mcq,"Which term means: ""Famously known as the first “part-talkie” film to feature
  synchronized audio.""?","The Jazz Singer (1927)","The Jazz Singer (1927) | diminished seventh chord | extended symphony orchestra | son clavé"
mcq,"What is ""The Moldau""?","The German title for Smetana's Vltava, the
  programmatic river theme.","See timpani; a percussion instrument (used primarily for dramatic effect or on special occasions in the Baroque era). | A type of Text Setting where one note is assigned
  per syllable of text, prioritizing textual clarity and rhythmic d... | The position of a chord where the root is in the bass,
  often used in the functional harmony of the Classical period. | The German title for Smetana's Vltava, the
  programmatic river theme."
mcq,"Which term means: ""The German title for Smetana's Vltava, the
  programmatic river theme.""?","The Moldau","The Moldau | minimalism | organ | demisemiquavers"
mcq,"What is ""The Passing of the Year""?","A choral work by Jonathan Dove, suggested as a starting
  point to exemplify complex textures, antiphony, and polyrhy...","A choral work by Jonathan Dove, suggested as a starting
  point to exemplify complex textures, antiphony, and polyrhy... | Music organized into groups of three beats (e.g., $3/4$
  time), characteristic of the Minuet and Trio. | The second movement of Handel’s Op. 6, No. 5 is an Allegro. | A type of metre (e.g., 2/4 or 4/4) organized into groups of two beats."
mcq,"Which term means: ""A choral work by Jonathan Dove, suggested as a starting
  point to exemplify complex textures, antiphony, and polyrhythms.""?","The Passing of the Year","major key passages | primary triads | The Passing of the Year | opera"
mcq,"What is ""thematic development""?","The manipulation and extension of musical ideas or themes,
  crucial in Romantic programmatic works and the Developme...","The manner in which lyrics are sung or spoken (e.g.,
  syllabic, melismatic, rap). | The manipulation and extension of musical ideas or themes,
  crucial in Romantic programmatic works and the Developme... | A collective term for instrumental music performed by a
  small group, such as Chamber Music or Baroque ensembles. | A keyboard instrument that functions as the chord-playing
  instrument in the basso continuo of the Baroque era, alon..."
mcq,"Which term means: ""The manipulation and extension of musical ideas or themes,
  crucial in Romantic programmatic works and the Development section of sonata
  form.""?","thematic development","Graded Dynamics | two quavers | Clara Schumann | thematic development"
mcq,"What is ""thematic identity""?","The characteristic nature of a recurring theme (leitmotif)
  that links it to a specific character or idea.","Italian term meaning ""all,"" referring to the
  full ensemble or orchestra, synonymous with ripieno in the Baroque
  c... | A flexible tempo used for expressive phrasing, where the
  rhythm is subtly varied; a key feature of the Romantic sty... | Refers to a type of cadence, Perfect (V-I),
  frequently used to punctuate phrases and define structural endings. | The characteristic nature of a recurring theme (leitmotif)
  that links it to a specific character or idea."
mcq,"Which term means: ""The characteristic nature of a recurring theme (leitmotif)
  that links it to a specific character or idea.""?","thematic identity","thematic identity | vocal improvisation | Dotted Rhythms | time a movie is set"
mcq,"What is ""Theme and Variations""?","A musical form based on presenting a main melody (theme)
  followed by a series of sections that alter or elaborate u...","These are intervals smaller than a standard Western
  semitone. The maqām system in Arab music is uniquely structured... | The underlying beat that organizes rhythmic patterns,
  which is established early in the Hindustani structural progr... | A musical form based on presenting a main melody (theme)
  followed by a series of sections that alter or elaborate u... | The central foundational rhythm of a genre, such as the clavé
  in Salsa."
mcq,"Which term means: ""A musical form based on presenting a main melody (theme)
  followed by a series of sections that alter or elaborate upon it.""?","Theme and Variations","virtuosity | pizzicato | Theme and Variations | string quartet"
mcq,"What is ""theme and variations""?","See Theme and Variations.","A performer who demonstrates virtuosity (extreme
  technical skill). | A two-bar rhythmic ostinato that forms the rhythmic
  core of Salsa, perceived as either a forward clave (3:2 pattern... | The specific scale system governing pitch, such as the maqām in Arabic music. | See Theme and Variations."
mcq,"Which term means: ""See Theme and Variations.""?","theme and variations","rallentando | theme and variations | Copland | rubato"
mcq,"What is ""themes""?","Recognizable musical ideas that form the basis of a piece
  or movement, often manipulated using devices like sequenc...","A song by Ralph Vaughan Williams, cited as an example of an Art Song that utilizes expressive rubato. | A texture where several independent melodic lines are intricately woven together; synonymous with polyphonic. | Recognizable musical ideas that form the basis of a piece
  or movement, often manipulated using devices like sequenc... | See pop and rock instruments."
mcq,"Which term means: ""Recognizable musical ideas that form the basis of a piece
  or movement, often manipulated using devices like sequence and imitation.""?","themes","delay | themes | ripieno | Polka"
mcq,"What is ""thick orchestral scoring""?","The use of dense layering in the expanded Romantic or
  modern symphony orchestra, resulting in a full, rich texture.","A note value; sixteenth note. | String instruments forming part of the core orchestra,
  required knowledge for all Western periods. | A traditional structure based on the return of a main
  theme (A) alternating with contrasting sections (episodes), o... | The use of dense layering in the expanded Romantic or
  modern symphony orchestra, resulting in a full, rich texture."
mcq,"Which term means: ""The use of dense layering in the expanded Romantic or
  modern symphony orchestra, resulting in a full, rich texture.""?","thick orchestral scoring","multiple simultaneous independent rhythms | harmonizing | thick orchestral scoring | Mvt. 2"
mcq,"What is ""thicker texture""?","A more layered and complex texture, often created through
  instrumental density, overdubbing, or double-tracking.","The ud, a plucked lute, is a key melodic instrument
  in Arab Takht Ensembles. | The specific folk melody used by Aaron Copland in Appalachian
  Spring. | A more layered and complex texture, often created through
  instrumental density, overdubbing, or double-tracking. | A short form for pedal notes or pedal points, key
  harmonic devices."
mcq,"Which term means: ""A more layered and complex texture, often created through
  instrumental density, overdubbing, or double-tracking.""?","thicker texture","Chanting to Paradise | instrumental break | tone poem | thicker texture"
mcq,"What is ""thinner texture""?","A texture with fewer instruments or parts, typically found
  in Baroque solo episodes.","Specifically refers to the Tamb“r” in Hindustani
  classical music, whose sole purpose is to provide the drone. | A texture with fewer instruments or parts, typically found
  in Baroque solo episodes. | A phrase used by singers during layali (unmetred
  vocal improvisation) in Arab music to establish the emotional mood. | A starting point (non-prescribed set work) for studying
  Computer Game Music, demonstrating the blend of orchestral ..."
mcq,"Which term means: ""A texture with fewer instruments or parts, typically found
  in Baroque solo episodes.""?","thinner texture","suite form | Mozart's Quintet for piano and winds in E flat major | thinner texture | rhythmic sequencers"
mcq,"What is ""third""?","An interval, specifically important in the Romantic era's
  use of tertiary relationships (modulating to keys a third...","An interval, specifically important in the Romantic era's
  use of tertiary relationships (modulating to keys a third... | The first movement of Vivaldi’s Spring is the focus
  work example, marked Allegro. | The set of required curriculum standards and content. | Services (e.g., YouTube, Spotify, Apple Music, BBC Sounds) that disseminate music globally via the internet, defining..."
